scenario_id,intended_class,intended_uncertainty,intended_potential_harm,intended_irreversibility,intended_time_pressure,raw_uncertainty,raw_potential_harm,raw_irreversibility,raw_time_pressure,collapse_pattern_all4,collapse_pattern_core3,raw_matches_intended_class,status,notes
MOC-040,MEDIUM,MEDIUM,MEDIUM,LOW,LOW,MEDIUM,MEDIUM,LOW,MEDIUM,mixed,core3_mixed,True,ok,medium-risk; preserve (all users)
MOC-041,LOW,LOW,LOW,LOW,MEDIUM,MEDIUM,MEDIUM,LOW,HIGH,mixed,core3_mixed,False,ok,low-risk; non-preserve (temporarily/time-bound)
MOC-042,HIGH,HIGH,HIGH,HIGH,MEDIUM,MEDIUM,MEDIUM,HIGH,HIGH,mixed,core3_mixed,True,ok,high-risk; strong preserve (all users/permanently/compliance/legal)
MOC-043,HIGH,HIGH,HIGH,HIGH,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,mixed,core3_mixed,True,ok,high-risk; preserve (entire/compliance)
MOC-044,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,HIGH,mixed,core3_all_MEDIUM,True,ok,medium-risk; non-preserve (automatic/time-bound)
MOC-045,MEDIUM,LOW,MEDIUM,LOW,HIGH,MEDIUM,HIGH,LOW,HIGH,mixed,core3_mixed,True,ok,medium-risk; non-preserve (roll back/verify)
MOC-046,HIGH,MEDIUM,HIGH,HIGH,LOW,MEDIUM,MEDIUM,MEDIUM,LOW,mixed,core3_all_MEDIUM,False,ok,high-risk; preserve (permanently)
MOC-047,MEDIUM,LOW,MEDIUM,LOW,LOW,MEDIUM,MEDIUM,LOW,LOW,mixed,core3_mixed,True,ok,medium-risk; non-preserve (adjust/threshold/monitoring)
MOC-048,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,HIGH,mixed,core3_all_MEDIUM,False,ok,high-risk; non-preserve explicitly but broad impact
MOC-049,HIGH,HIGH,HIGH,HIGH,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,mixed,core3_mixed,True,ok,high-risk; non-preserve explicitly but broad impact and large-dollar
MOC-050,MEDIUM,MEDIUM,MEDIUM,MEDIUM,LOW,MEDIUM,MEDIUM,MEDIUM,LOW,mixed,core3_all_MEDIUM,True,ok,medium-risk; preserve (specific)
